Date,Close/Last,Volume,Open,High,Low
06/11/2020,$127.898,116002140,$130.175,$133.569,$126.8115
06/10/2020,$132.3725,98920620,$132.25,$136.1175,$131.313
06/09/2020,$130.043,103519000,$126.472,$131.3215,$126.25
06/08/2020,$126.203,79413080,$125.01,$126.50,$124.3668
06/05/2020,$124.15,66128900,$122.2255,$124.4323,$121.8565
06/04/2020,$123.03,58974200,$123.8715,$125.377,$122.5005
06/03/2020,$123.92,53420480,$123.4005,$124.40,$123.0585
06/02/2020,$123.6205,50598060,$123.35,$123.6765,$122.2655
06/01/2020,$123.552,58760640,$122.40,$123.8465,$122.2085
05/29/2020,$122.1185,70586580,$120.797,$122.1185,$119.9099
05/28/2020,$120.055,63862720,$119.2165,$121.8485,$118.9115
05/27/2020,$120.5195,101138900,$120.2495,$120.679,$116.50
05/26/2020,$121.093,71363060,$122.90,$123.10,$120.703
05/22/2020,$121.844,57341580,$122.7505,$123.4925,$121.5065
05/21/2020,$122.337,102288060,$125.00,$126.2725,$122.127
05/20/2020,$124.897,79962860,$123.8935,$125.0005,$123.3635
05/19/2020,$122.4665,86409960,$121.4915,$124.2498,$121.4485
05/18/2020,$121.313,87331440,$120.2173,$121.65,$119.2005
05/15/2020,$120.489,84699020,$118.426,$120.55,$117.8185
05/14/2020,$119.4425,72962560,$118.0505,$119.5685,$117.6605
05/13/2020,$118.396,95658380,$118.34,$120.385,$116.8902
05/12/2020,$117.8475,61498320,$120.5925,$120.95,$117.75
05/11/2020,$120.45,65184620,$118.735,$120.9833,$118.6055
05/08/2020,$118.9805,64224560,$118.607,$119.3622,$117.85
05/07/2020,$118.3805,67928220,$118.739,$118.80,$117.1555
05/06/2020,$117.563,62356280,$116.472,$117.8725,$116.00
05/05/2020,$115.89,64849920,$117.00,$117.55,$115.3563
05/04/2020,$115.7995,97318520,$112.819,$116.349,$112.819
05/01/2020,$114.302,195452100,$116.84,$118.122,$112.9095
04/30/2020,$123.70,190692220,$120.992,$123.75,$119.8005
04/29/2020,$118.6355,91831860,$116.5005,$119.5945,$115.50
04/28/2020,$115.704,105388920,$118.605,$118.675,$115.30
04/27/2020,$118.80,112912900,$122.16,$122.244,$118.15
04/24/2020,$120.511,76635940,$120.85,$121.0217,$119.10
04/23/2020,$119.9725,101331040,$119.999,$121.211,$119.104
04/22/2020,$118.1745,84365900,$118.45,$119.70,$117.55
04/21/2020,$116.406,149533580,$120.8305,$121.4155,$113.983
04/20/2020,$119.6805,115413880,$119.4975,$122.249,$119.3025
04/17/2020,$118.75,158600200,$118.6165,$120.00,$115.801
04/16/2020,$120.4095,240764000,$117.30,$123.0499,$116.75
04/15/2020,$115.384,137331340,$112.884,$116.6685,$112.25
04/14/2020,$114.166,161743860,$110.0235,$114.60,$109.3105
04/13/2020,$108.4435,134334180,$102.00,$109.00,$101.90
04/09/2020,$102.138,93112340,$102.215,$102.65,$100.883
04/08/2020,$102.15,79546260,$101.05,$102.20,$100.5575
04/07/2020,$100.58,102279660,$100.8555,$101.786,$99.881
04/06/2020,$99.8795,115463620,$96.80,$99.926,$96.501
04/03/2020,$95.3295,72197400,$95.5575,$96.3165,$94.4575
04/02/2020,$95.9415,86719700,$95.082,$96.3763,$94.50
04/01/2020,$95.385,82437500,$96.6485,$97.248,$94.65
03/31/2020,$97.486,102472520,$98.2175,$99.651,$97.2005
03/30/2020,$98.1975,122521740,$96.1415,$98.6815,$95.617
03/27/2020,$95.005,107757940,$96.543,$96.9895,$94.996
03/26/2020,$97.7745,124702360,$95.10,$97.8245,$94.4645
03/25/2020,$94.292,129581460,$96.0345,$97.513,$94.289
03/24/2020,$97.005,142941600,$97.5747,$97.75,$95.017
03/23/2020,$95.1415,156169780,$91.3875,$95.97,$90.60
03/20/2020,$92.3045,196357000,$96.3155,$97.85,$91.0365
03/19/2020,$94.0465,207998800,$93.00,$97.25,$91.6325
03/18/2020,$91.50,192904360,$87.50,$92.083,$87.25
03/17/2020,$90.392,218342600,$88.7735,$92.8888,$84.462
03/16/2020,$84.4575,178345300,$82.0755,$87.9726,$81.3016
03/13/2020,$89.25,176194500,$87.75,$89.3155,$84.031
03/12/2020,$83.8305,226924200,$86.099,$88.25,$83.75
03/11/2020,$91.043,112936620,$92.8925,$93.566,$90.075
03/10/2020,$94.591,142666200,$93.544,$94.7135,$90.9085
03/09/2020,$90.0305,156264640,$88.693,$93.1385,$88.0645
03/06/2020,$95.0545,105471600,$93.75,$95.5435,$93.475
03/05/2020,$96.2015,94964200,$96.65,$98.036,$95.50
03/04/2020,$98.7915,95458380,$97.3285,$98.90,$96.10
03/03/2020,$95.4495,150689820,$98.7685,$99.8165,$94.4045
03/02/2020,$97.6975,135233020,$95.3245,$97.7255,$93.50
02/28/2020,$94.1875,189875940,$90.7315,$94.488,$90.5564
02/27/2020,$94.215,162879860,$96.719,$98.75,$94.1381
02/26/2020,$98.9795,104808040,$98.514,$100.7335,$98.0225
02/25/2020,$98.637,124381880,$101.321,$101.73,$97.921
02/24/2020,$100.4645,130939940,$100.159,$101.9648,$99.3987
02/21/2020,$104.7985,93014800,$107.1075,$107.2275,$104.40
02/20/2020,$107.655,62626840,$108.6535,$108.8395,$106.3725
02/19/2020,$108.511,51223300,$108.39,$109.255,$108.056
02/18/2020,$107.7835,59021400,$106.251,$108.3035,$106.2053
02/14/2020,$106.7435,52123380,$107.784,$107.9518,$106.2945
02/13/2020,$107.4935,60635820,$107.2495,$108.514,$107.10
02/12/2020,$108.00,66685280,$108.16,$109.0125,$107.7645
02/11/2020,$107.54,114920220,$107.545,$109.2975,$106.80
02/10/2020,$106.6955,101124700,$104.2505,$106.78,$104.248
02/07/2020,$103.964,101906940,$102.0995,$104.9265,$101.905
02/06/2020,$102.5115,63659080,$102.051,$102.815,$101.24
02/05/2020,$101.9935,87523480,$103.551,$103.551,$101.60
02/04/2020,$102.4835,105786760,$101.494,$102.99,$100.7685
02/03/2020,$100.21,117981880,$100.53,$102.425,$100.0125
01/31/2020,$100.436,311345600,$102.5735,$102.786,$100.1135
01/30/2020,$93.534,126548760,$92.90,$93.6435,$92.5305
01/29/2020,$92.90,42027800,$93.20,$93.7375,$92.751
01/28/2020,$92.6625,56160800,$92.025,$92.9055,$91.501
01/27/2020,$91.417,70570180,$91.00,$92.05,$90.767
01/24/2020,$93.082,75323620,$94.5685,$94.7495,$92.372
01/23/2020,$94.229,49692260,$94.2555,$94.4988,$93.638
01/22/2020,$94.373,64325140,$94.8045,$95.125,$94.167
01/21/2020,$94.60,74155700,$93.25,$94.7135,$93.00
01/17/2020,$93.236,79946800,$94.2945,$94.332,$92.8625
01/16/2020,$93.897,53189860,$94.1495,$94.2795,$93.301
01/15/2020,$93.101,57931840,$93.6125,$93.943,$92.7545
01/14/2020,$93.472,68927620,$94.294,$94.3555,$92.9275
01/13/2020,$94.565,55716880,$94.5655,$94.90,$94.04
01/10/2020,$94.158,57139180,$95.2685,$95.347,$94.00
01/09/2020,$95.0525,63499240,$95.4945,$95.891,$94.7902
01/08/2020,$94.5985,70239320,$94.902,$95.55,$94.3222
01/07/2020,$95.343,82680200,$95.225,$95.6945,$94.6022
01/06/2020,$95.144,81313960,$93.00,$95.1845,$93.00
01/03/2020,$93.7485,75332080,$93.225,$94.3098,$93.225
01/02/2020,$94.9005,80718200,$93.75,$94.9005,$93.2075
12/31/2019,$92.392,50207600,$92.10,$92.663,$91.6115
12/30/2019,$92.3445,73546120,$93.70,$94.20,$92.031
12/27/2019,$93.49,123775080,$94.146,$95.07,$93.3005
12/26/2019,$93.4385,120492160,$90.0505,$93.523,$89.975
12/24/2019,$89.4605,17626740,$89.6905,$89.7785,$89.3788
12/23/2019,$89.65,42749860,$89.413,$89.65,$89.2255
12/20/2019,$89.325,103049200,$89.9808,$90.1485,$89.1225
12/19/2019,$89.614,54766400,$89.025,$89.6495,$88.703
12/18/2019,$89.2015,67082740,$89.751,$89.91,$89.118
12/17/2019,$89.533,72933940,$88.9005,$89.60,$88.8695
12/16/2019,$88.4605,62986900,$88.35,$88.475,$87.8525
12/13/2019,$88.047,54958180,$88.25,$88.4495,$87.75
12/12/2019,$88.0165,62078980,$87.50,$88.20,$87.272
12/11/2019,$87.436,42026360,$87.0835,$87.50,$86.7855
12/10/2019,$86.9605,50312880,$87.37,$87.5335,$86.75
12/09/2019,$87.4755,50049780,$87.533,$88.3446,$87.2805
12/06/2019,$87.58,62399580,$87.56,$87.72,$87.0065
12/05/2019,$87.024,56557040,$88.175,$88.175,$87.00
12/04/2019,$88.0345,53614000,$88.7005,$89.4545,$88.011
12/03/2019,$88.498,70591640,$88.00,$88.6435,$87.3615
12/02/2019,$89.08,78635000,$90.22,$90.2775,$88.134
11/29/2019,$90.04,38468800,$90.889,$91.2345,$90.0395
11/27/2019,$90.9255,60716920,$90.05,$91.225,$89.8655
11/26/2019,$89.847,63808560,$88.996,$89.8515,$88.9175
11/25/2019,$88.692,69789340,$87.6625,$88.871,$87.662
11/22/2019,$87.286,49581620,$86.951,$87.3215,$86.55
11/21/2019,$86.7355,53258760,$87.15,$87.3435,$86.518
11/20/2019,$87.2765,55875180,$87.457,$88.1262,$86.706
11/19/2019,$87.6395,45490700,$87.8495,$88.034,$87.1515
11/18/2019,$87.6265,56838140,$86.915,$87.685,$86.1355
11/15/2019,$86.9745,78622820,$88.0025,$88.084,$86.643
11/14/2019,$87.73,45388340,$87.5715,$88.3297,$87.478
11/13/2019,$87.6555,58537840,$88.6695,$88.75,$87.3661
11/12/2019,$88.90,40778500,$88.733,$89.311,$88.5955
11/11/2019,$88.5825,38956200,$88.90,$89.00,$88.3565
11/08/2019,$89.294,42523960,$89.3945,$89.494,$88.702
11/07/2019,$89.41,53021720,$90.188,$90.295,$89.174
11/06/2019,$89.7885,40595660,$90.05,$90.125,$89.429
11/05/2019,$90.0855,37710860,$90.458,$90.5125,$89.70
11/04/2019,$90.233,55438440,$90.0505,$90.753,$90.0505
11/01/2019,$89.572,55807080,$89.4005,$89.8723,$89.2605
10/31/2019,$88.833,55623700,$88.7995,$89.60,$88.5738
10/30/2019,$88.9995,48988100,$88.012,$89.119,$87.9558
10/29/2019,$88.1355,45537100,$88.7405,$88.85,$87.7905
10/28/2019,$88.854,74177020,$87.403,$88.935,$87.125
10/25/2019,$88.0665,192528040,$84.8775,$88.2105,$84.75
10/24/2019,$89.039,104087000,$88.5545,$89.4169,$88.0135
10/23/2019,$88.1085,43807600,$88.065,$88.5025,$87.10
10/22/2019,$88.2865,44688500,$89.4075,$89.489,$88.10
10/21/2019,$89.283,44498040,$88.483,$89.294,$88.25
10/18/2019,$87.8755,67321820,$89.39,$89.699,$87.46
10/17/2019,$89.374,54275460,$89.8245,$89.9425,$89.101
10/16/2019,$88.8715,56081360,$88.6665,$89.312,$88.526
10/15/2019,$88.369,62584880,$87.107,$88.8225,$87.031
10/14/2019,$86.8215,38577960,$86.4455,$87.0944,$86.10
10/11/2019,$86.596,65590680,$87.146,$87.2725,$86.493
10/10/2019,$86.013,54430620,$86.262,$86.9145,$85.6875
10/09/2019,$86.0995,41786700,$85.9805,$86.4975,$85.718
10/08/2019,$85.2755,52536800,$86.1245,$86.35,$85.25
10/07/2019,$86.633,43751960,$86.5815,$87.3915,$86.185
10/04/2019,$86.9825,49785540,$86.301,$87.0288,$85.9615
10/03/2019,$86.221,72487420,$85.65,$86.25,$84.253
10/02/2019,$85.6615,66769520,$86.387,$86.4445,$85.25
10/01/2019,$86.7825,63409200,$87.30,$87.78,$86.4205
09/30/2019,$86.7955,55215360,$86.3495,$86.873,$85.461
09/27/2019,$86.2725,78960580,$87.40,$87.456,$85.691
09/26/2019,$86.992,71439040,$88.1395,$88.1685,$86.575
09/25/2019,$88.4165,70621960,$87.368,$88.65,$86.15
09/24/2019,$87.0805,92758020,$89.5303,$89.7853,$86.7773
09/23/2019,$89.265,62782840,$88.85,$89.635,$88.366
09/20/2019,$89.708,111116780,$91.0855,$91.5315,$89.046
09/19/2019,$91.075,41566700,$91.051,$91.6285,$90.895
09/18/2019,$90.873,50720240,$90.852,$91.103,$89.775
09/17/2019,$91.1275,40661160,$90.354,$91.1995,$90.205
09/16/2019,$90.392,73509460,$91.201,$91.2847,$90.01
09/13/2019,$91.967,39426340,$92.1005,$92.3061,$91.7585
09/12/2019,$92.1775,56470100,$91.8815,$92.683,$91.714
09/11/2019,$91.1495,48655340,$90.607,$91.671,$90.454
09/10/2019,$91.0275,52277580,$91.1375,$91.2905,$90.2668
09/09/2019,$91.5675,59990300,$92.05,$92.50,$91.2305
09/06/2019,$91.6755,49938660,$91.911,$92.0325,$91.32
09/05/2019,$92.036,66503780,$91.0975,$92.10,$90.7788
09/04/2019,$90.031,46524560,$90.25,$90.3815,$89.8115
09/03/2019,$89.492,70937180,$88.50,$90.04,$88.40
08/30/2019,$88.8145,61282940,$89.8745,$89.987,$88.2285
08/29/2019,$89.32,60360240,$89.15,$89.9275,$88.8625
08/28/2019,$88.2125,48437860,$87.75,$88.393,$87.2025
08/27/2019,$88.0915,60544900,$88.7865,$88.97,$87.334
08/26/2019,$88.4435,61706400,$88.3455,$88.50,$87.1755
08/23/2019,$87.481,105557960,$89.6515,$90.2448,$87.2615
08/22/2019,$90.28,53167760,$91.40,$91.4706,$90.005
08/21/2019,$91.177,40784620,$90.9695,$91.4789,$90.75
08/20/2019,$90.069,38656700,$90.725,$90.841,$89.994
08/19/2019,$90.806,56406060,$90.904,$91.30,$90.6305
08/16/2019,$89.6285,61084800,$89.6445,$90.1454,$89.2275
08/15/2019,$88.806,76198960,$89.0995,$89.40,$88.098
08/14/2019,$88.148,97872980,$89.6505,$89.7826,$87.8607
08/13/2019,$91.217,81500420,$89.15,$91.5871,$89.00
08/12/2019,$89.246,58109960,$89.7995,$90.049,$88.85
08/09/2019,$90.379,57595400,$91.4475,$91.5546,$90.111
08/08/2019,$91.6445,74024840,$90.30,$91.713,$89.9055
08/07/2019,$89.67,90537680,$88.6995,$89.9465,$87.85
08/06/2019,$89.3915,101405160,$89.6115,$89.6885,$87.67
08/05/2019,$88.2565,121164240,$88.511,$89.4334,$87.439
08/02/2019,$91.162,99124500,$92.2535,$92.3182,$90.401
08/01/2019,$92.766,94266220,$93.586,$94.896,$92.2005
07/31/2019,$93.339,89414540,$94.9055,$94.9775,$92.472
07/30/2019,$94.9265,58217760,$94.5558,$95.4945,$94.174
07/29/2019,$95.6225,89863800,$96.50,$96.6113,$94.527
07/26/2019,$97.1525,98542860,$97.10,$97.5448,$96.2255
07/25/2019,$98.691,82729220,$100.05,$100.06,$98.636
07/24/2019,$100.0405,52626000,$98.465,$100.065,$98.2935
07/23/2019,$99.7245,54069600,$99.7995,$99.8895,$98.6565
07/22/2019,$99.2815,58162220,$98.557,$99.45,$97.913
07/19/2019,$98.226,63712240,$99.5605,$99.80,$98.1113
07/18/2019,$98.895,70085040,$99.0005,$99.375,$97.5775
07/17/2019,$99.6015,51176180,$100.3525,$100.60,$99.6015
07/16/2019,$100.495,52363960,$100.529,$101.316,$100.061
07/15/2019,$101.0495,59626860,$101.07,$101.145,$100.0775
07/12/2019,$100.55,50185940,$100.4135,$100.85,$100.1935
07/11/2019,$100.0535,86355320,$101.281,$101.79,$99.765
07/10/2019,$100.8705,98638040,$99.8255,$101.247,$99.77
07/09/2019,$99.415,86913960,$97.39,$99.5005,$97.1737
07/08/2019,$97.616,57667420,$96.706,$97.80,$96.4127
07/05/2019,$97.1455,52567180,$96.43,$97.295,$96.265
07/03/2019,$96.95,33805880,$96.7945,$97.0795,$96.525
07/02/2019,$96.7155,53025980,$95.969,$96.7395,$95.3315
07/01/2019,$96.1095,64066940,$96.149,$96.491,$95.733
06/28/2019,$94.6815,60747160,$95.455,$95.647,$94.20
06/27/2019,$95.214,42834420,$95.10,$95.562,$94.902
06/26/2019,$94.8915,48838200,$94.624,$95.19,$94.366
06/25/2019,$93.9135,60246940,$95.592,$95.8193,$93.621
06/24/2019,$95.695,45659380,$95.633,$95.843,$95.065
06/21/2019,$95.565,78671520,$95.805,$96.2975,$95.379
06/20/2019,$95.9095,64343060,$96.6665,$96.76,$95.29
06/19/2019,$95.4395,57906940,$95.392,$95.979,$94.6235
06/18/2019,$95.0685,77914560,$95.0675,$96.0835,$94.9895
06/17/2019,$94.3015,52686840,$93.825,$94.7844,$93.7725
06/14/2019,$93.4835,57023260,$93.20,$93.80,$92.95
06/13/2019,$93.515,55916200,$93.336,$94.1545,$93.111
06/12/2019,$92.766,53566700,$92.699,$93.25,$92.219
06/11/2019,$93.185,80853880,$94.1625,$94.685,$92.90
06/10/2019,$93.0315,107420140,$91.10,$94.2435,$90.90
06/07/2019,$90.2015,96164920,$88.185,$90.3127,$87.9745
06/06/2019,$87.718,73785440,$86.8855,$88.00,$86.3065
06/05/2019,$86.925,84795640,$87.48,$87.60,$85.7626
06/04/2019,$86.478,113582420,$84.962,$86.541,$84.0445
06/03/2019,$84.6345,181974160,$88.0005,$88.3145,$83.60
05/31/2019,$88.7535,92376380,$89.5005,$89.7793,$88.6352
05/30/2019,$90.816,62937000,$91.2745,$91.4735,$90.3913
05/29/2019,$90.9595,85580500,$91.156,$91.50,$90.3766
05/28/2019,$91.8215,63999300,$91.6375,$92.4633,$91.3675
05/24/2019,$91.164,67393460,$91.7945,$92.088,$90.8926
05/23/2019,$90.774,88485300,$91.8295,$92.20,$90.21
05/22/2019,$92.984,58732020,$92.589,$93.5743,$92.55
05/21/2019,$92.876,80102440,$93.7395,$93.95,$92.30
05/20/2019,$92.9485,75963960,$92.6345,$93.389,$91.777
05/17/2019,$93.45,94732360,$94.6525,$95.5265,$93.3665
05/16/2019,$95.3785,94156440,$94.297,$95.8755,$94.1145
05/15/2019,$93.5575,93852840,$91.3975,$93.7214,$91.15
05/14/2019,$92.006,92582140,$91.975,$92.622,$90.7875
05/13/2019,$91.134,115668200,$91.828,$92.3268,$90.90
05/10/2019,$94.499,114359880,$94.90,$95.1895,$92.80
05/09/2019,$94.9935,106165260,$95.00,$95.47,$93.80
05/08/2019,$95.8885,81571360,$95.9435,$96.7685,$95.50
05/07/2019,$96.05,118042680,$96.9995,$97.455,$95.169
05/06/2019,$97.5275,108356820,$95.899,$97.95,$95.525
05/03/2019,$98.123,127631280,$97.45,$98.22,$96.80
05/02/2019,$95.041,79258300,$95.6665,$96.0775,$94.0935
05/01/2019,$95.576,62339280,$96.6545,$97.182,$95.5275
04/30/2019,$96.326,69858580,$96.505,$96.7855,$95.3475
04/29/2019,$96.9215,80001040,$97.45,$97.8168,$96.7045
04/26/2019,$97.5315,167932100,$96.45,$97.55,$94.90
04/25/2019,$95.1125,112519440,$95.8502,$96.1225,$95.0155
04/24/2019,$95.0875,72367640,$96.25,$96.4845,$94.908
04/23/2019,$96.1885,92643380,$94.56,$96.463,$94.479
04/22/2019,$94.3655,67223240,$92.77,$94.421,$92.282
04/18/2019,$93.0845,54900040,$93.4395,$93.541,$92.974
04/17/2019,$93.241,56762600,$93.6495,$93.8237,$93.022
04/16/2019,$93.152,60738140,$92.5675,$93.4885,$92.40
04/15/2019,$92.2435,74213060,$92.10,$92.3425,$90.945
04/12/2019,$92.153,61817980,$92.42,$92.575,$92.065
04/11/2019,$92.2035,52463940,$92.435,$92.4975,$92.0155
04/10/2019,$92.3665,59038780,$92.05,$92.40,$91.4405
04/09/2019,$91.792,74065660,$92.2745,$92.6545,$91.589
04/08/2019,$92.493,74908560,$91.6615,$92.51,$91.2555
04/05/2019,$91.864,72569160,$91.45,$91.929,$91.2595
04/04/2019,$90.943,72280260,$91.0325,$91.4375,$90.21
04/03/2019,$91.035,78460860,$91.336,$91.50,$90.481
04/02/2019,$90.699,68711120,$90.551,$91.00,$90.2561
04/01/2019,$90.7095,83469600,$90.0055,$90.7835,$89.9365
03/29/2019,$89.0375,66336620,$89.329,$89.643,$88.8315
03/28/2019,$88.671,60617200,$88.50,$88.8965,$87.6735
03/27/2019,$88.285,86332920,$89.2065,$89.375,$87.284
03/26/2019,$89.188,96973080,$89.65,$90.2885,$88.668
03/25/2019,$88.713,101963640,$87.8895,$89.1338,$87.375
03/22/2019,$88.2385,126957160,$90.5085,$90.949,$88.1555
03/21/2019,$90.963,114801500,$89.813,$91.1875,$89.3641
03/20/2019,$89.8635,123076120,$88.497,$89.975,$88.3517
03/19/2019,$88.0925,126784640,$87.6755,$89.208,$87.6755
03/18/2019,$87.1075,108067840,$85.635,$87.50,$85.6315
03/15/2019,$85.618,150766000,$85.15,$85.94,$84.6565
03/14/2019,$84.311,58755180,$84.56,$85.10,$84.217
03/13/2019,$84.5405,70816740,$84.15,$85.00,$83.9675
03/12/2019,$83.655,71259860,$83.45,$84.2133,$83.049
03/11/2019,$83.531,75945960,$81.306,$83.6143,$81.3005
03/08/2019,$81.04,93198900,$80.2005,$81.136,$79.3285
03/07/2019,$81.2975,98911280,$83.3685,$83.4877,$81.0255
03/06/2019,$83.4475,79699920,$84.7985,$84.8875,$83.414
03/05/2019,$84.6215,73359540,$85.1475,$85.39,$84.4505
03/04/2019,$84.8085,123084740,$84.25,$85.4715,$83.718
03/01/2019,$83.5865,93232360,$82.7565,$83.713,$82.55
02/28/2019,$81.9915,60320160,$81.7625,$82.5885,$81.6915
02/27/2019,$82.0545,62822920,$81.409,$82.0905,$80.755
02/26/2019,$81.82,53140380,$81.299,$81.9995,$80.8067
02/25/2019,$81.65,63383800,$82.0725,$82.73,$81.5194
02/22/2019,$81.578,61806840,$81.175,$81.747,$81.0585
02/21/2019,$80.972,69213640,$80.9925,$81.178,$80.0455
02/20/2019,$81.105,66286200,$81.50,$81.7465,$80.506
02/19/2019,$81.379,73436420,$80.05,$81.70,$80.028
02/15/2019,$80.3975,86667940,$81.393,$81.4455,$80.225
02/14/2019,$81.1325,82131100,$81.225,$81.895,$80.303
02/13/2019,$82.00,70901920,$82.35,$82.819,$81.8553
02/12/2019,$81.9005,96609740,$80.20,$81.9698,$79.944
02/11/2019,$79.55,66024800,$80.049,$80.4645,$79.30
02/08/2019,$79.411,112997760,$79.30,$79.4295,$78.3378
02/07/2019,$80.7185,92105860,$81.25,$81.2769,$79.6455
02/06/2019,$82.013,78617400,$83.5375,$83.613,$81.667
02/05/2019,$82.9405,88872640,$82.167,$83.263,$82.125
02/04/2019,$81.6655,98226380,$81.15,$82.4815,$80.675
02/01/2019,$81.3115,229682600,$81.944,$83.653,$81.1005
01/31/2019,$85.9365,206086600,$84.6425,$86.8206,$83.9541
01/30/2019,$83.5215,114340840,$81.15,$83.8475,$80.984
01/29/2019,$79.694,91831720,$81.5635,$81.619,$79.536
01/28/2019,$81.8945,96151280,$82.1795,$82.25,$80.7045
01/25/2019,$83.5285,98668680,$83.525,$84.174,$83.0806
01/24/2019,$82.7465,81554740,$82.0535,$82.8629,$81.5892
01/23/2019,$82.001,103848400,$82.80,$82.8715,$80.60
01/22/2019,$81.6085,128053100,$84.05,$84.0933,$80.51
01/18/2019,$84.81,119466360,$85.60,$85.81,$84.577
01/17/2019,$84.661,83596720,$84.00,$85.0085,$83.875
01/16/2019,$84.189,126872280,$84.211,$85.25,$83.7939
01/15/2019,$83.728,119285960,$81.60,$83.758,$81.3005
01/14/2019,$80.8605,119785980,$80.75,$82.41,$79.7575
01/11/2019,$82.028,93401860,$82.0275,$83.0147,$81.811
01/10/2019,$82.811,129745040,$82.0505,$83.1625,$81.0808
01/09/2019,$82.971,126670560,$82.649,$83.3899,$82.0698
01/08/2019,$82.829,176615060,$83.2345,$83.8305,$80.8305
01/07/2019,$81.4755,159434400,$80.1155,$81.728,$79.4592
01/04/2019,$78.7695,183234020,$76.50,$79.70,$75.9155
01/03/2019,$75.014,138684360,$76.0005,$76.90,$74.8555
01/02/2019,$76.9565,157439340,$73.26,$77.668,$73.0465
12/31/2018,$75.0985,138831960,$75.54,$76.038,$74.35
12/28/2018,$73.901,176451960,$73.6675,$75.6735,$72.45
12/27/2018,$73.082,192624560,$72.71,$73.45,$69.5155
12/26/2018,$73.545,206657400,$68.4445,$73.6578,$68.1505
12/24/2018,$67.198,144399920,$67.30,$69.8015,$65.35
12/21/2018,$68.8725,271129400,$73.2495,$74.00,$68.198
12/20/2018,$73.0415,198253180,$74.20,$75.475,$71.6345
12/19/2018,$74.754,172488020,$77.1525,$79.2265,$74.159
12/18/2018,$77.574,129361460,$77.00,$78.3775,$76.1505
12/17/2018,$76.0455,174580400,$78.30,$78.8065,$75.2505
12/14/2018,$79.5955,126953180,$81.90,$82.1285,$79.25
12/13/2018,$82.919,104980860,$84.00,$84.606,$82.075
12/12/2018,$83.177,131627120,$83.45,$85.2495,$83.0135
12/11/2018,$82.162,124356660,$83.90,$83.9734,$80.98
12/10/2018,$82.0515,149343180,$81.192,$82.8995,$79.5435
12/07/2018,$81.4565,150178780,$85.2535,$85.9463,$81.273
12/06/2018,$84.9595,174023940,$80.7435,$85.0525,$80.4925
12/04/2018,$83.42,173068320,$87.80,$88.5169,$83.25
12/03/2018,$88.618,136808240,$88.473,$88.917,$86.50
11/30/2018,$84.5085,114883360,$83.975,$84.80,$83.325
11/29/2018,$83.6785,132008480,$83.7495,$84.4995,$82.6166
11/28/2018,$83.8875,168597880,$80.696,$84.0725,$80.0607
11/27/2018,$79.071,115168820,$78.7995,$79.8825,$77.9005
